epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,75.6788,1.85879,0.69841,0.92971,1.34282,0.00022491,0.00022491,0.00022491
2,151.808,1.11863,0.80726,0.96145,0.66941,0.000450591,0.000450591,0.000450591
3,225.968,0.69624,0.86395,0.99546,0.37258,0.000668574,0.000668574,0.000668574
4,300.438,0.50577,0.92744,1,0.28039,0.000791767,0.000791767,0.000791767
5,373.935,0.37697,0.97506,1,0.18296,0.000778022,0.000778022,0.000778022
6,448.021,0.30542,0.98186,1,0.11829,0.000764278,0.000764278,0.000764278
7,522.404,0.22902,0.99546,1,0.06818,0.000750533,0.000750533,0.000750533
8,596.349,0.17876,1,1,0.03514,0.000736788,0.000736788,0.000736788
9,670.302,0.18184,1,1,0.02141,0.000723044,0.000723044,0.000723044
10,743.947,0.12872,1,1,0.01328,0.000709299,0.000709299,0.000709299
11,818.214,0.15483,0.9932,1,0.01554,0.000695555,0.000695555,0.000695555
12,891.592,0.0845,0.99773,1,0.0113,0.00068181,0.00068181,0.00068181
13,965.307,0.0881,0.99773,1,0.00911,0.000668066,0.000668066,0.000668066
14,1039.31,0.11081,1,1,0.00474,0.000654321,0.000654321,0.000654321
15,1113.35,0.07173,1,1,0.00364,0.000640577,0.000640577,0.000640577
16,1187.15,0.06526,1,1,0.00259,0.000626832,0.000626832,0.000626832
17,1260.87,0.07642,1,1,0.00182,0.000613088,0.000613088,0.000613088
18,1334.85,0.06853,1,1,0.00132,0.000599343,0.000599343,0.000599343
19,1408.71,0.05744,1,1,0.00239,0.000585599,0.000585599,0.000585599
20,1482.67,0.03445,1,1,0.00249,0.000571854,0.000571854,0.000571854
21,1556.85,0.06157,1,1,0.00186,0.00055811,0.00055811,0.00055811
22,1631.17,0.03819,1,1,0.0018,0.000544365,0.000544365,0.000544365
23,1705.2,0.08043,1,1,0.00072,0.000530621,0.000530621,0.000530621
24,1778.86,0.05617,0.99773,1,0.0032,0.000516877,0.000516877,0.000516877
25,1852.69,0.0759,1,1,0.00268,0.000503132,0.000503132,0.000503132
26,1927.02,0.05324,1,1,0.00214,0.000489387,0.000489387,0.000489387
27,2000.83,0.04424,1,1,0.0014,0.000475643,0.000475643,0.000475643
28,2074.69,0.03715,1,1,0.00088,0.000461898,0.000461898,0.000461898
29,2149.23,0.09731,1,1,0.00137,0.000448154,0.000448154,0.000448154
30,2223.67,0.0641,1,1,0.00099,0.000434409,0.000434409,0.000434409
31,2297.55,0.03874,1,1,0.00073,0.000420665,0.000420665,0.000420665
32,2372.11,0.04233,1,1,0.00076,0.00040692,0.00040692,0.00040692
33,2447.02,0.04015,1,1,0.00039,0.000393176,0.000393176,0.000393176
34,2521.48,0.06394,1,1,0.00029,0.000379431,0.000379431,0.000379431
35,2595.78,0.04547,1,1,0.0003,0.000365687,0.000365687,0.000365687
36,2670.13,0.06378,1,1,0.0003,0.000351942,0.000351942,0.000351942
37,2745.09,0.05454,1,1,0.00033,0.000338198,0.000338198,0.000338198
38,2819.58,0.02662,1,1,0.00052,0.000324453,0.000324453,0.000324453
39,2893.61,0.02367,1,1,0.00043,0.000310709,0.000310709,0.000310709
40,2967.65,0.02882,1,1,0.00044,0.000296964,0.000296964,0.000296964
41,3041.23,0.0329,1,1,0.00029,0.00028322,0.00028322,0.00028322
42,3115.3,0.02536,1,1,0.00036,0.000269475,0.000269475,0.000269475
43,3189.8,0.01989,1,1,0.00021,0.000255731,0.000255731,0.000255731
44,3263.84,0.0236,1,1,0.00028,0.000241986,0.000241986,0.000241986
45,3338.29,0.03704,1,1,0.00018,0.000228242,0.000228242,0.000228242
46,3412.58,0.01981,1,1,0.00025,0.000214497,0.000214497,0.000214497
47,3486.56,0.04204,1,1,0.0002,0.000200753,0.000200753,0.000200753
48,3560.83,0.02497,1,1,0.00017,0.000187008,0.000187008,0.000187008
49,3635.55,0.03448,1,1,0.00019,0.000173264,0.000173264,0.000173264
50,3709.58,0.02205,1,1,0.00017,0.00015952,0.00015952,0.00015952
51,3783.81,0.01794,1,1,0.00016,0.000145775,0.000145775,0.000145775
52,3858.11,0.01798,1,1,0.00015,0.000132031,0.000132031,0.000132031
53,3932.37,0.01923,1,1,0.00015,0.000118286,0.000118286,0.000118286
54,4006.46,0.02325,1,1,0.00016,0.000104542,0.000104542,0.000104542
55,4080.9,0.02674,1,1,0.00015,9.0797e-05,9.0797e-05,9.0797e-05
56,4155.19,0.01849,1,1,0.00013,7.70525e-05,7.70525e-05,7.70525e-05
57,4229.19,0.01904,1,1,0.00017,6.3308e-05,6.3308e-05,6.3308e-05
58,4303,0.02061,1,1,0.00017,4.95635e-05,4.95635e-05,4.95635e-05
59,4377.45,0.02797,1,1,0.00011,3.5819e-05,3.5819e-05,3.5819e-05
60,4451.2,0.02332,1,1,0.00012,2.20745e-05,2.20745e-05,2.20745e-05
